rank,title,year,rating,duration,imdb_rating,genre,url,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
64,Paths of Glory,1957,Approved,1h 28m,8.4,"Drama, War",https://www.imdb.com/title/tt0050825/,https://www.imdb.com/title/tt0050825/,3408,0,1,Kirk Douglas,https://www.imdb.com/name/nm0000018/?ref_=tt_cst_t_1,Ralph Meeker,https://www.imdb.com/name/nm0576127/?ref_=tt_cst_t_2,Adolphe Menjou,https://www.imdb.com/name/nm0579663/?ref_=tt_cst_t_3
65,Witness for the Prosecution,1957,Approved,1h 56m,8.4,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0051201/,https://www.imdb.com/title/tt0051201/,2873,0,6,Tyrone Power,https://www.imdb.com/name/nm0000061/?ref_=tt_cst_t_1,Marlene Dietrich,https://www.imdb.com/name/nm0000017/?ref_=tt_cst_t_2,Charles Laughton,https://www.imdb.com/name/nm0001452/?ref_=tt_cst_t_3
66,The Shining,1980,R,2h 26m,8.4,"Drama, Horror",https://www.imdb.com/title/tt0081505/,https://www.imdb.com/title/tt0081505/,291,0,0,Jack Nicholson,https://www.imdb.com/name/nm0000197/?ref_=tt_cst_t_1,Shelley Duvall,https://www.imdb.com/name/nm0001167/?ref_=tt_cst_t_2,Danny Lloyd,https://www.imdb.com/name/nm0515950/?ref_=tt_cst_t_3
67,12th Fail,2023,,2h 27m,8.8,"Biography, Drama",https://www.imdb.com/title/tt23849204/,https://www.imdb.com/title/tt23849204/,569,0,0,Vikrant Massey,https://www.imdb.com/name/nm5447706/?ref_=tt_cst_t_1,Medha Shankr,https://www.imdb.com/name/nm10791162/?ref_=tt_cst_t_2,Anant Joshi,https://www.imdb.com/name/nm8910763/?ref_=tt_cst_t_3
68,The Great Dictator,1940,G,2h 5m,8.4,"Comedy, Drama, War",https://www.imdb.com/title/tt0032553/,https://www.imdb.com/title/tt0032553/,3657,0,5,Charles Chaplin,https://www.imdb.com/name/nm0000122/?ref_=tt_cst_t_1,Paulette Goddard,https://www.imdb.com/name/nm0002104/?ref_=tt_cst_t_2,Jack Oakie,https://www.imdb.com/name/nm0642988/?ref_=tt_cst_t_3
69,Aliens,1986,R,2h 17m,8.4,"Action, Adventure, Horror",https://www.imdb.com/title/tt0090605/,https://www.imdb.com/title/tt0090605/,272,2,0,Sigourney Weaver,https://www.imdb.com/name/nm0000244/?ref_=tt_cst_t_1,Michael Biehn,https://www.imdb.com/name/nm0000299/?ref_=tt_cst_t_2,Carrie Henn,https://www.imdb.com/name/nm0001343/?ref_=tt_cst_t_3
70,Inglourious Basterds,2009,R,2h 33m,8.4,"Adventure, Drama, War",https://www.imdb.com/title/tt0361748/,https://www.imdb.com/title/tt0361748/,111,1,0,Brad Pitt,https://www.imdb.com/name/nm0000093/?ref_=tt_cst_t_1,Diane Kruger,https://www.imdb.com/name/nm1208167/?ref_=tt_cst_t_2,Eli Roth,https://www.imdb.com/name/nm0744834/?ref_=tt_cst_t_3
71,The Dark Knight Rises,2012,PG-13,2h 44m,8.4,"Action, Drama, Thriller",https://www.imdb.com/title/tt1345836/,https://www.imdb.com/title/tt1345836/,281,0,1,Christian Bale,https://www.imdb.com/name/nm0000288/?ref_=tt_cst_t_1,Tom Hardy,https://www.imdb.com/name/nm0362766/?ref_=tt_cst_t_2,Anne Hathaway,https://www.imdb.com/name/nm0004266/?ref_=tt_cst_t_3
72,Coco,2017,PG,1h 45m,8.4,"Animation, Adventure, Drama",https://www.imdb.com/title/tt2380307/,https://www.imdb.com/title/tt2380307/,864,2,0,Anthony Gonzalez,https://www.imdb.com/name/nm5645519/?ref_=tt_cst_t_1,Gael García Bernal,https://www.imdb.com/name/nm0305558/?ref_=tt_cst_t_2,Benjamin Bratt,https://www.imdb.com/name/nm0000973/?ref_=tt_cst_t_3
73,Amadeus,1984,PG,2h 40m,8.4,"Biography, Drama, Music",https://www.imdb.com/title/tt0086879/,https://www.imdb.com/title/tt0086879/,583,8,0,F. Murray Abraham,https://www.imdb.com/name/nm0000719/?ref_=tt_cst_t_1,Tom Hulce,https://www.imdb.com/name/nm0001371/?ref_=tt_cst_t_2,Elizabeth Berridge,https://www.imdb.com/name/nm0000931/?ref_=tt_cst_t_3
