rank,title,year,rating,duration,imdb_rating,genre,movie_url,popularity_score,oscar_wins,oscar_nominations,star_1,star_1_link,star_2,star_2_link,star_3,star_3_link
203,Mary and Max.,,Not Rated,,8.1,"Animation, Comedy, Drama",https://www.imdb.com/title/tt0978762/,2900.0,0,0,Toni Collette,https://www.imdb.com/name/nm0001057/?ref_=tt_cst_t_1,Philip Seymour Hoffman,https://www.imdb.com/name/nm0000450/?ref_=tt_cst_t_2,Eric Bana,https://www.imdb.com/name/nm0051509/?ref_=tt_cst_t_3
204,The Deer Hunter,,R,,8.1,"Drama, War",https://www.imdb.com/title/tt0077416/,665.0,5,0,Robert De Niro,https://www.imdb.com/name/nm0000134/?ref_=tt_cst_t_1,Christopher Walken,https://www.imdb.com/name/nm0000686/?ref_=tt_cst_t_2,John Cazale,https://www.imdb.com/name/nm0001030/?ref_=tt_cst_t_3
205,The General,,Passed,,8.1,"Action, Adventure, Comedy",https://www.imdb.com/title/tt0017925/,,0,0,Buster Keaton,https://www.imdb.com/name/nm0000036/?ref_=tt_cst_t_1,Marion Mack,https://www.imdb.com/name/nm0533045/?ref_=tt_cst_t_2,Glen Cavender,https://www.imdb.com/name/nm0147070/?ref_=tt_cst_t_3
206,Ford v Ferrari,,PG-13,,8.1,"Action, Biography, Drama",https://www.imdb.com/title/tt1950186/,546.0,2,0,Matt Damon,https://www.imdb.com/name/nm0000354/?ref_=tt_cst_t_1,Christian Bale,https://www.imdb.com/name/nm0000288/?ref_=tt_cst_t_2,Jon Bernthal,https://www.imdb.com/name/nm1256532/?ref_=tt_cst_t_3
207,Le salaire de la peur,,Not Rated,,8.1,"Adventure, Drama, Thriller",https://www.imdb.com/title/tt0046268/,3941.0,1,0,Yves Montand,https://www.imdb.com/name/nm0598971/?ref_=tt_cst_t_1,Charles Vanel,https://www.imdb.com/name/nm0889024/?ref_=tt_cst_t_2,Peter van Eyck,https://www.imdb.com/name/nm0886870/?ref_=tt_cst_t_3
208,On the Waterfront,,Approved,,8.1,"Crime, Drama, Thriller",https://www.imdb.com/title/tt0047296/,2540.0,8,0,Marlon Brando,https://www.imdb.com/name/nm0000008/?ref_=tt_cst_t_1,Karl Malden,https://www.imdb.com/name/nm0001500/?ref_=tt_cst_t_2,Lee J. Cobb,https://www.imdb.com/name/nm0002011/?ref_=tt_cst_t_3
209,Mr. Smith Goes to Washington,,Approved,,8.1,"Comedy, Drama",https://www.imdb.com/title/tt0031679/,,1,0,James Stewart,https://www.imdb.com/name/nm0000071/?ref_=tt_cst_t_1,Jean Arthur,https://www.imdb.com/name/nm0000795/?ref_=tt_cst_t_2,Claude Rains,https://www.imdb.com/name/nm0001647/?ref_=tt_cst_t_3
210,Smultronstället,,Not Rated,,8.1,"Drama, Romance",https://www.imdb.com/title/tt0050986/,,0,1,Victor Sjöström,https://www.imdb.com/name/nm0803705/?ref_=tt_cst_t_1,Bibi Andersson,https://www.imdb.com/name/nm0000761/?ref_=tt_cst_t_2,Ingrid Thulin,https://www.imdb.com/name/nm0862026/?ref_=tt_cst_t_3
211,Logan,,R,,8.1,"Action, Drama, Sci-Fi",https://www.imdb.com/title/tt3315342/,1042.0,0,1,Hugh Jackman,https://www.imdb.com/name/nm0413168/?ref_=tt_cst_t_1,Patrick Stewart,https://www.imdb.com/name/nm0001772/?ref_=tt_cst_t_2,Dafne Keen,https://www.imdb.com/name/nm6748436/?ref_=tt_cst_t_3
212,The Third Man,,Approved,,8.1,"Drama, Film-Noir, Mystery",https://www.imdb.com/title/tt0041959/,3399.0,1,0,Orson Welles,https://www.imdb.com/name/nm0000080/?ref_=tt_cst_t_1,Joseph Cotten,https://www.imdb.com/name/nm0001072/?ref_=tt_cst_t_2,Alida Valli,https://www.imdb.com/name/nm0885098/?ref_=tt_cst_t_3
